geolocation_city,avg,avg
riachão do bacamarte,-7.250463943847465,-35.66140362351248
caranaiba,-20.87412230335525,-43.73718950300095
silva jardim,-22.643049932211905,-42.40944446257947
goiana,-9.26906746941066,-36.00080666518948
sao joao do polesine,-29.620813372181352,-53.45058601991287
terra nova,-10.588637427720805,-38.949845901752475
marianopolis do tocantins,-9.796716473130443,-49.65667979604099
cruz do espírito santo,-7.1393909759908905,-35.08682604237864
conceicao do coite,-11.572120889376585,-39.277837374690016
santopolis do aguapei,-21.637210119243523,-50.50057020361475
sertao santana,-30.461088669607253,-51.60263402092208
granjeiro,-6.889939677635828,-39.2170471770587
bonfim paulista,-21.254045438016355,-47.815211223210696
santana do serido,-6.773452366376297,-36.736759914427054
galinhos,-5.098020278737214,-36.2418210711995
trairi,-3.263092321221203,-39.26798567961338
platina,-22.634025956899745,-50.20334215317968
milho verde,-18.47227263411503,-43.49692788374374
são joão batista do glória,-20.602958465282114,-46.47611641042393
mostardas,-31.10296106992601,-50.91340742099437
birigui,-21.29148593883685,-50.33834102472453
padre bernardo,-15.173405629090755,-48.2837369748829
icarai de minas,-16.2120040172806,-44.91261934300348
lagoa vermelha,-28.211900819098766,-51.52518474256222
itaguaru,-15.761628318995127,-49.63356589227914
arvorezinha,-28.87190543829348,-52.180111441190874
eldorado dos carajas,-6.105938855614389,-49.361990984803676
ipojuca,-8.441865196198224,-35.03133101563555
jacareí,-23.29701904505093,-45.96212496481976
nossa senhora das gracas,-22.91431947382134,-51.797415254078985
campos de julio,-13.723196103777829,-59.25822589137534
campinas do sul,-27.717866420644814,-52.62398227507844
lagoinha,-22.231315101803098,-44.844011960265604
guairaca,-22.938756078348426,-52.68740094093172
santa clara,-20.82155818949915,-41.90794602626933
mogeiro,-7.304785226537744,-35.47764473916775
pérola d'oeste,-25.82893009667355,-53.73893009703742
ipiaú,-14.133060654126878,-39.73599659233128
mimoso do sul,-21.061570668726123,-41.362964494022094
pilar do sul,-23.81197455444591,-47.722907596818544
ibitirama,-20.537112297706017,-41.66525823368056
colares,-0.9301039641331696,-48.27792533211408
peixe,-12.032918171228046,-48.53987814765796
são joão de iracema,-20.513540000251275,-50.352307329307834
sape,-7.092878444624179,-35.23178085866671
vitoria do mearim,-3.4912687740595154,-44.88358234279302
anaurilandia,-22.183493629042154,-52.7177112392464
timbaúba,-7.509114271007239,-35.31684190828148
wanderlandia,-6.850252763361861,-47.96537247278158
teutônia,-29.48026935612985,-51.807474918051234
chapada gaucha,-15.310235507867338,-45.61427845708092
mira estrela,-19.9756132774764,-50.13439239768762
olho d'agua grande,-10.057000472377505,-36.8126381329972
chaveslandia,-19.04329047203457,-50.48805214021181
apucarana,-23.554896617582084,-51.456353228191404
santa cruz do capibaribe,-7.949437784808929,-36.209489777422654
itaara,-29.5968016501597,-53.76801100248575
jaú do tocantins,-12.652711553628231,-48.5918552888386
lamounier,-20.472853861268035,-45.05407584785131
cordeiropolis,-22.481923906468374,-47.45974025268494
rio fortuna,-28.135229936969033,-49.11310643844439
calumbi,-7.9393452387802625,-38.15328763426178
arame,-4.889731449292038,-46.00677976876072
campinapolis,-14.456760631884018,-52.82781801515335
ipigua,-20.660563915892897,-49.38837651165975
são lourenço da mata,-7.998483785214292,-35.03433597152271
sitio do mato,-13.08508137487319,-43.46849368078589
planaltina do paraná,-23.02206334849094,-52.92064459446549
jenipapo de minas,-17.09007626642221,-42.25089176360698
irecê,-11.30506726162404,-41.854570542003174
carlinda,-9.966516824949288,-55.82367240407809
santa adélia,-21.242155822680164,-48.80310867473196
senhora das dores,-21.19338763301095,-43.6424958161334
boa esperança do iguaçu,-25.636575922786463,-53.21359392893352
piuma,-20.839915856337488,-40.73510620582453
olímpia,-20.739087604409026,-48.90781227600814
palmopolis,-16.74501810806007,-40.4136791336252
enéas marques,-25.947470971051228,-53.160308656983865
ribeirão claro,-23.196452297787637,-49.755502735540425
ibiaçá,-28.05661033813472,-51.85683477057301
santa rita de ouro preto,-20.50099619946478,-43.58245390796419
baependi,-21.96166089671874,-44.88903628055419
ribeirão,-8.512463814753133,-35.37632454016905
barão,-29.37575161928599,-51.50138475722986
euclides da cunha,-10.506647781847292,-39.01178236135266
penalva,-3.285248633188892,-45.177923136625026
jaramataia,-9.659669658029264,-37.001568302973844
santo antônio do leverger,-15.866090770747267,-56.07636795568556
campo bonito,-25.03348379417203,-52.99204548871616
quiterianopolis,-5.844971954336275,-40.707702019935816
luzilândia,-3.4604844421624072,-42.371933915028066
touros,-5.209741766719092,-35.47011435816395
apodi,-5.660856970578202,-37.79745260951045
angatuba,-23.49567484007595,-48.4070683942558
cristalandia do piaui,-10.6713542550449,-45.17400567387645
francisco beltrao,-26.07080253640257,-53.05293288655351
quissamã,-22.10863304743756,-41.469989469184085
jansen,-29.134344506572358,-51.372279826760945
rio paranaiba,-19.20769539270437,-46.32176530505162
antônio joão,-22.189572460158054,-55.94924428871426
andira,-23.048411332218812,-50.229893974095134
cruzeiro do oeste,-23.802145643807766,-53.02969474370653
buriti de goias,-16.182178187560528,-50.433577707273614
clevelandia do norte,-11.294461691231307,-52.108398143864584
itaquirai,-23.476889194947468,-54.18041258300822
são francisco do conde,-12.624964709323375,-38.6670956548879
barra de sao joao,-22.576463482857175,-41.98842303976574
caete,-19.88417534591237,-43.66472664657098
vianópolis,-16.746284518054498,-48.51719701448821
condeúba,-14.900213860479498,-41.970519378958635
lagoa dos gatos,-8.657245477403078,-35.90403907912423
uiraúna,-6.519080477522598,-38.413983159950746
diorama,-16.23401740758952,-51.258095256391485
parobé,-29.631433624437427,-50.83353121287411
santo antônio do planalto,-28.39534628213785,-52.689894889738326
guardinha,-20.91576448798051,-47.15619833263436
capivari,-22.99748379485896,-47.505725105505064
baliza,-16.200375508864134,-52.544147699130235
colniza,-9.447975813043975,-59.26943356105814
realeza,-25.37112520666575,-52.7124292278443
capitao andrade,-19.070634881218112,-41.86335575381556
campo grande do piaui,-7.1528547616305245,-41.04754169427389
ivaté,-23.409854951820833,-53.371305271454425
varjao,-17.047354663099384,-49.63099096438077
paulo ramos,-4.4475339965164356,-45.239285342861805
bocaiuva do sul,-25.21022891904481,-49.11201801929613
pedrinópolis,-19.228978732059417,-47.46395572663685
alumínio,-23.52123662207714,-47.255904987131935
barroso,-21.191206592695412,-43.97510580556287
para de minas,-19.86175991851672,-44.602633552003645
pequeri,-21.839768115837288,-43.122307238307634
jundiá,-6.263932044818814,-35.32676076888863
serra de sao bento,-6.417963758748006,-35.708585301965435
aquiraz,-3.9123226523542134,-38.37643498546888
araquari,-26.407378348238264,-48.758112726410005
poços de caldas,-21.797674757292818,-46.56259455058805
corrego do bom jesus,-22.63123361713757,-46.01918250038458
rio bracnco,-9.958020162651277,-67.84582514698864
isaias coelho,-7.738716462808591,-41.678923808779025
pinhalao,-23.78984365765885,-50.05845314896147
irapua,-21.280039746171237,-49.40912611703918
piloezinhos,-6.8450130239333085,-35.527593020901925
sagres,-21.883056004699924,-50.95564935842328
mossoro,-5.191232751310816,-37.34559314214887
itapecerica,-20.46975446206616,-45.12324240731254
teresina de goiás,-13.77849602870568,-47.268184205038196
pedro afonso,-9.008680982153361,-48.145337615418356
sonora,-17.583081258667857,-54.7544093789241
milagres do maranhão,-3.579506999999996,-42.61524094897279
sao joao da parauna,-16.81907336616139,-50.40796955487757
mariluz,-24.00996447620137,-53.151319141759046
sao joao do triunfo,-25.68486273907674,-50.29852266825625
são josé das missões,-27.77830391895551,-53.12097685143531
lacerdopolis,-27.26305844782447,-51.56473243201138
anhandui,-20.981461451885522,-54.503718322956225
lajedinho,-12.355008882381227,-40.90352711660624
chui,-33.69024618477329,-53.46160679056916
itamarati de minas,-21.416553737201237,-42.816615740254946
guamare,-5.108182744449686,-36.32042539005322
urupa,-11.130663709917593,-62.369827953974166
lagoa bonita do sul,-29.4966075544381,-53.035896529733265
são josé da laje,-9.007214023629544,-36.058789004161326
gaspar,-26.91698331486875,-48.958888351840216
araraquara,-21.782712943567837,-48.17171498477061
"rio de janeiro, rio de janeiro, brasil",-22.85777881320336,-43.25262574493621
centenario do sul,-22.821187569318727,-51.59474927261032
